date,value
"2009-01-03 00:00:00",1
"2009-01-09 00:00:00",14
"2009-01-10 00:00:00",61
"2009-01-11 00:00:00",93
"2009-01-12 00:00:00",101
"2009-01-13 00:00:00",123
"2009-01-14 00:00:00",130
"2009-01-15 00:00:00",134
"2009-01-16 00:00:00",110
"2009-01-17 00:00:00",109
"2009-01-18 00:00:00",108
"2009-01-19 00:00:00",117
"2009-01-20 00:00:00",115
"2009-01-21 00:00:00",103
"2009-01-22 00:00:00",92
"2009-01-23 00:00:00",86
"2009-01-24 00:00:00",202
"2009-01-25 00:00:00",192
"2009-01-26 00:00:00",97
"2009-01-27 00:00:00",98
"2009-01-28 00:00:00",112
"2009-01-29 00:00:00",122
"2009-01-30 00:00:00",117
"2009-01-31 00:00:00",139
"2009-02-01 00:00:00",114
"2009-02-02 00:00:00",129
"2009-02-03 00:00:00",155
"2009-02-04 00:00:00",119
"2009-02-05 00:00:00",126
"2009-02-06 00:00:00",122
"2009-02-07 00:00:00",133
"2009-02-08 00:00:00",133
"2009-02-09 00:00:00",135
"2009-02-10 00:00:00",120
"2009-02-11 00:00:00",135
"2009-02-12 00:00:00",119
"2009-02-13 00:00:00",124
"2009-02-14 00:00:00",136
"2009-02-15 00:00:00",131
"2009-02-16 00:00:00",123
"2009-02-17 00:00:00",117
"2009-02-18 00:00:00",118
"2009-02-19 00:00:00",125
"2009-02-20 00:00:00",122
"2009-02-21 00:00:00",114
"2009-02-22 00:00:00",125
"2009-02-23 00:00:00",108
"2009-02-24 00:00:00",106
"2009-02-25 00:00:00",105
"2009-02-26 00:00:00",107
"2009-02-27 00:00:00",116
"2009-02-28 00:00:00",100
"2009-03-01 00:00:00",105
"2009-03-02 00:00:00",108
"2009-03-03 00:00:00",107
"2009-03-04 00:00:00",106
"2009-03-05 00:00:00",113
"2009-03-06 00:00:00",117
"2009-03-07 00:00:00",109
"2009-03-08 00:00:00",118
"2009-03-09 00:00:00",108
"2009-03-10 00:00:00",107
"2009-03-11 00:00:00",114
"2009-03-12 00:00:00",119
"2009-03-13 00:00:00",114
"2009-03-14 00:00:00",110
"2009-03-15 00:00:00",123
"2009-03-16 00:00:00",122
"2009-03-17 00:00:00",114
"2009-03-18 00:00:00",116
"2009-03-19 00:00:00",122
"2009-03-20 00:00:00",119
"2009-03-21 00:00:00",50
"2009-03-22 00:00:00",121
"2009-03-23 00:00:00",130
"2009-03-24 00:00:00",105
"2009-03-25 00:00:00",117
"2009-03-26 00:00:00",118
"2009-03-27 00:00:00",106
"2009-03-28 00:00:00",122
"2009-03-29 00:00:00",116
"2009-03-30 00:00:00",120
"2009-03-31 00:00:00",111
"2009-04-01 00:00:00",114
"2009-04-02 00:00:00",115
"2009-04-03 00:00:00",116
"2009-04-04 00:00:00",113
"2009-04-05 00:00:00",132
"2009-04-06 00:00:00",109
"2009-04-07 00:00:00",100
"2009-04-08 00:00:00",105
"2009-04-09 00:00:00",99
"2009-04-10 00:00:00",108
"2009-04-11 00:00:00",121
"2009-04-12 00:00:00",120
"2009-04-13 00:00:00",116
"2009-04-14 00:00:00",124
"2009-04-15 00:00:00",113
"2009-04-16 00:00:00",123
"2009-04-17 00:00:00",112
"2009-04-18 00:00:00",130
"2009-04-19 00:00:00",120
"2009-04-20 00:00:00",121
"2009-04-21 00:00:00",124
"2009-04-22 00:00:00",121
"2009-04-23 00:00:00",75
"2009-04-24 00:00:00",115
"2009-04-25 00:00:00",118
"2009-04-26 00:00:00",114
"2009-04-27 00:00:00",104
"2009-04-28 00:00:00",117
"2009-04-29 00:00:00",129
"2009-04-30 00:00:00",131
"2009-05-01 00:00:00",121
"2009-05-02 00:00:00",128
"2009-05-03 00:00:00",109
"2009-05-04 00:00:00",129
"2009-05-05 00:00:00",136
"2009-05-06 00:00:00",135
"2009-05-07 00:00:00",122
"2009-05-08 00:00:00",107
"2009-05-09 00:00:00",78
"2009-05-10 00:00:00",85
"2009-05-11 00:00:00",121
"2009-05-12 00:00:00",130
"2009-05-13 00:00:00",116
"2009-05-14 00:00:00",142
"2009-05-15 00:00:00",137
"2009-05-16 00:00:00",119
"2009-05-17 00:00:00",127
"2009-05-18 00:00:00",118
"2009-05-19 00:00:00",86
"2009-05-20 00:00:00",120
"2009-05-21 00:00:00",82
"2009-05-22 00:00:00",61
"2009-05-23 00:00:00",32
"2009-05-24 00:00:00",100
"2009-05-25 00:00:00",109
"2009-05-26 00:00:00",125
"2009-05-27 00:00:00",119
"2009-05-28 00:00:00",95
"2009-05-29 00:00:00",107
"2009-05-30 00:00:00",109
"2009-05-31 00:00:00",96
"2009-06-01 00:00:00",72
"2009-06-02 00:00:00",111
"2009-06-03 00:00:00",71
"2009-06-04 00:00:00",66
"2009-06-05 00:00:00",30
"2009-06-06 00:00:00",28
"2009-06-07 00:00:00",16
"2009-06-08 00:00:00",82
"2009-06-09 00:00:00",91
"2009-06-10 00:00:00",82
"2009-06-11 00:00:00",89
"2009-06-12 00:00:00",86
"2009-06-13 00:00:00",78
"2009-06-14 00:00:00",72
"2009-06-15 00:00:00",84
"2009-06-16 00:00:00",71
"2009-06-17 00:00:00",79
"2009-06-18 00:00:00",80
"2009-06-19 00:00:00",87
"2009-06-20 00:00:00",78
"2009-06-21 00:00:00",81
"2009-06-22 00:00:00",77
"2009-06-23 00:00:00",76
"2009-06-24 00:00:00",97
"2009-06-25 00:00:00",69
"2009-06-26 00:00:00",90
"2009-06-27 00:00:00",84
"2009-06-28 00:00:00",47
"2009-06-29 00:00:00",84
"2009-06-30 00:00:00",86
"2009-07-01 00:00:00",75
"2009-07-02 00:00:00",84
"2009-07-03 00:00:00",82
"2009-07-04 00:00:00",89
"2009-07-05 00:00:00",79
"2009-07-06 00:00:00",84
"2009-07-07 00:00:00",69
"2009-07-08 00:00:00",74
"2009-07-09 00:00:00",86
"2009-07-10 00:00:00",81
"2009-07-11 00:00:00",83
"2009-07-12 00:00:00",77
"2009-07-13 00:00:00",78
"2009-07-14 00:00:00",69
"2009-07-15 00:00:00",45
"2009-07-16 00:00:00",71
"2009-07-17 00:00:00",47
"2009-07-18 00:00:00",4
"2009-07-19 00:00:00",70
"2009-07-20 00:00:00",71
"2009-07-21 00:00:00",82
"2009-07-22 00:00:00",60
"2009-07-23 00:00:00",76
"2009-07-24 00:00:00",73
"2009-07-25 00:00:00",32
"2009-07-26 00:00:00",21
"2009-07-27 00:00:00",74
"2009-07-28 00:00:00",41
"2009-07-29 00:00:00",20
"2009-07-30 00:00:00",16
"2009-07-31 00:00:00",17
"2009-08-01 00:00:00",28
"2009-08-02 00:00:00",23
"2009-08-03 00:00:00",12
"2009-08-04 00:00:00",81
"2009-08-05 00:00:00",87
"2009-08-06 00:00:00",90
"2009-08-07 00:00:00",81
"2009-08-08 00:00:00",80
"2009-08-09 00:00:00",101
"2009-08-10 00:00:00",75
"2009-08-11 00:00:00",70
"2009-08-12 00:00:00",63
"2009-08-13 00:00:00",85
"2009-08-14 00:00:00",63
"2009-08-15 00:00:00",26
"2009-08-16 00:00:00",19
"2009-08-17 00:00:00",17
"2009-08-18 00:00:00",10
"2009-08-19 00:00:00",18
"2009-08-20 00:00:00",22
"2009-08-21 00:00:00",14
"2009-08-22 00:00:00",7
"2009-08-23 00:00:00",15
"2009-08-24 00:00:00",15
"2009-08-25 00:00:00",50
"2009-08-26 00:00:00",51
"2009-08-27 00:00:00",29
"2009-08-28 00:00:00",75
"2009-08-29 00:00:00",78
"2009-08-30 00:00:00",98
"2009-08-31 00:00:00",87
"2009-09-01 00:00:00",78
"2009-09-02 00:00:00",66
"2009-09-03 00:00:00",62
"2009-09-04 00:00:00",64
"2009-09-05 00:00:00",76
"2009-09-06 00:00:00",68
"2009-09-07 00:00:00",79
"2009-09-08 00:00:00",69
"2009-09-09 00:00:00",54
"2009-09-10 00:00:00",67
"2009-09-11 00:00:00",67
"2009-09-12 00:00:00",69
"2009-09-13 00:00:00",75
"2009-09-14 00:00:00",74
"2009-09-15 00:00:00",44
"2009-09-16 00:00:00",73
"2009-09-17 00:00:00",85
"2009-09-18 00:00:00",78
"2009-09-19 00:00:00",74
"2009-09-20 00:00:00",78
"2009-09-21 00:00:00",70
"2009-09-22 00:00:00",26
"2009-09-23 00:00:00",36
"2009-09-24 00:00:00",97
"2009-09-25 00:00:00",93
"2009-09-26 00:00:00",100
"2009-09-27 00:00:00",88
"2009-09-28 00:00:00",85
"2009-09-29 00:00:00",90
"2009-09-30 00:00:00",85
"2009-10-01 00:00:00",82
"2009-10-02 00:00:00",73
"2009-10-03 00:00:00",58
"2009-10-04 00:00:00",53
"2009-10-05 00:00:00",55
"2009-10-06 00:00:00",45
"2009-10-07 00:00:00",60
"2009-10-08 00:00:00",70
"2009-10-09 00:00:00",79
"2009-10-10 00:00:00",77
"2009-10-11 00:00:00",74
"2009-10-12 00:00:00",59
"2009-10-13 00:00:00",57
"2009-10-14 00:00:00",69
"2009-10-15 00:00:00",71
"2009-10-16 00:00:00",61
"2009-10-17 00:00:00",57
"2009-10-18 00:00:00",75
"2009-10-19 00:00:00",112
"2009-10-20 00:00:00",96
"2009-10-21 00:00:00",81
"2009-10-22 00:00:00",91
"2009-10-23 00:00:00",89
"2009-10-24 00:00:00",63
"2009-10-25 00:00:00",76
"2009-10-26 00:00:00",71
"2009-10-27 00:00:00",65
"2009-10-28 00:00:00",66
"2009-10-29 00:00:00",48
"2009-10-30 00:00:00",60
"2009-10-31 00:00:00",46
"2009-11-01 00:00:00",25
"2009-11-02 00:00:00",33
"2009-11-03 00:00:00",62
"2009-11-04 00:00:00",64
"2009-11-05 00:00:00",57
"2009-11-06 00:00:00",62
"2009-11-07 00:00:00",69
"2009-11-08 00:00:00",73
"2009-11-09 00:00:00",64
"2009-11-10 00:00:00",78
"2009-11-11 00:00:00",73
"2009-11-12 00:00:00",66
"2009-11-13 00:00:00",83
"2009-11-14 00:00:00",79
"2009-11-15 00:00:00",96
"2009-11-16 00:00:00",97
"2009-11-17 00:00:00",92
"2009-11-18 00:00:00",79
"2009-11-19 00:00:00",72
"2009-11-20 00:00:00",86
"2009-11-21 00:00:00",73
"2009-11-22 00:00:00",106
"2009-11-23 00:00:00",96
"2009-11-24 00:00:00",93
"2009-11-25 00:00:00",90
"2009-11-26 00:00:00",84
"2009-11-27 00:00:00",74
"2009-11-28 00:00:00",71
"2009-11-29 00:00:00",60
"2009-11-30 00:00:00",75
"2009-12-01 00:00:00",74
"2009-12-02 00:00:00",94
"2009-12-03 00:00:00",88
"2009-12-04 00:00:00",36
"2009-12-05 00:00:00",65
"2009-12-06 00:00:00",105
"2009-12-07 00:00:00",112
"2009-12-08 00:00:00",107
"2009-12-09 00:00:00",109
"2009-12-10 00:00:00",104
"2009-12-11 00:00:00",112
"2009-12-12 00:00:00",112
"2009-12-13 00:00:00",114
"2009-12-14 00:00:00",107
"2009-12-15 00:00:00",112
"2009-12-16 00:00:00",137
"2009-12-17 00:00:00",172
"2009-12-18 00:00:00",225
"2009-12-19 00:00:00",199
"2009-12-20 00:00:00",175
"2009-12-21 00:00:00",176
"2009-12-22 00:00:00",162
"2009-12-23 00:00:00",154
"2009-12-24 00:00:00",154
"2009-12-25 00:00:00",150
"2009-12-26 00:00:00",174
"2009-12-27 00:00:00",168
"2009-12-28 00:00:00",137
"2009-12-29 00:00:00",171
"2009-12-30 00:00:00",141
"2009-12-31 00:00:00",138
"2010-01-01 00:00:00",134
"2010-01-02 00:00:00",126
"2010-01-03 00:00:00",186
"2010-01-04 00:00:00",183
"2010-01-05 00:00:00",198
"2010-01-06 00:00:00",163
"2010-01-07 00:00:00",154
"2010-01-08 00:00:00",153
"2010-01-09 00:00:00",151
"2010-01-10 00:00:00",190
"2010-01-11 00:00:00",159
"2010-01-12 00:00:00",161
"2010-01-13 00:00:00",166
"2010-01-14 00:00:00",145
"2010-01-15 00:00:00",142
"2010-01-16 00:00:00",126
"2010-01-17 00:00:00",131
"2010-01-18 00:00:00",126
"2010-01-19 00:00:00",124
"2010-01-20 00:00:00",158
"2010-01-21 00:00:00",184
"2010-01-22 00:00:00",136
"2010-01-23 00:00:00",162
"2010-01-24 00:00:00",155
"2010-01-25 00:00:00",215
"2010-01-26 00:00:00",201
"2010-01-27 00:00:00",166
"2010-01-28 00:00:00",179
"2010-01-29 00:00:00",201
"2010-01-30 00:00:00",214
"2010-01-31 00:00:00",167
"2010-02-01 00:00:00",193
"2010-02-02 00:00:00",146
"2010-02-03 00:00:00",272
"2010-02-04 00:00:00",234
"2010-02-05 00:00:00",227
"2010-02-06 00:00:00",206
"2010-02-07 00:00:00",222
"2010-02-08 00:00:00",208
"2010-02-09 00:00:00",210
"2010-02-10 00:00:00",173
"2010-02-11 00:00:00",174
"2010-02-12 00:00:00",188
"2010-02-13 00:00:00",235
"2010-02-14 00:00:00",219
"2010-02-15 00:00:00",185
"2010-02-16 00:00:00",201
"2010-02-17 00:00:00",250
"2010-02-18 00:00:00",215
"2010-02-19 00:00:00",195
"2010-02-20 00:00:00",210
"2010-02-21 00:00:00",227
"2010-02-22 00:00:00",265
"2010-02-23 00:00:00",251
"2010-02-24 00:00:00",177
"2010-02-25 00:00:00",158
"2010-02-26 00:00:00",176
"2010-02-27 00:00:00",175
"2010-02-28 00:00:00",159
"2010-03-01 00:00:00",199
"2010-03-02 00:00:00",193
"2010-03-03 00:00:00",158
"2010-03-04 00:00:00",188
"2010-03-05 00:00:00",173
"2010-03-06 00:00:00",183
"2010-03-07 00:00:00",183
"2010-03-08 00:00:00",130
"2010-03-09 00:00:00",148
"2010-03-10 00:00:00",169
"2010-03-11 00:00:00",136
"2010-03-12 00:00:00",123
"2010-03-13 00:00:00",154
"2010-03-14 00:00:00",127
"2010-03-15 00:00:00",140
"2010-03-16 00:00:00",129
"2010-03-17 00:00:00",139
"2010-03-18 00:00:00",149
"2010-03-19 00:00:00",162
"2010-03-20 00:00:00",204
"2010-03-21 00:00:00",190
"2010-03-22 00:00:00",186
"2010-03-23 00:00:00",220
"2010-03-24 00:00:00",182
"2010-03-25 00:00:00",202
"2010-03-26 00:00:00",213
"2010-03-27 00:00:00",184
"2010-03-28 00:00:00",192
"2010-03-29 00:00:00",207
"2010-03-30 00:00:00",221
"2010-03-31 00:00:00",214
"2010-04-01 00:00:00",179
"2010-04-02 00:00:00",161
"2010-04-03 00:00:00",166
"2010-04-04 00:00:00",183
"2010-04-05 00:00:00",181
"2010-04-06 00:00:00",174
"2010-04-07 00:00:00",204
"2010-04-08 00:00:00",195
"2010-04-09 00:00:00",224
"2010-04-10 00:00:00",298
"2010-04-11 00:00:00",265
"2010-04-12 00:00:00",247
"2010-04-13 00:00:00",209
"2010-04-14 00:00:00",223
"2010-04-15 00:00:00",290
"2010-04-16 00:00:00",234
"2010-04-17 00:00:00",250
"2010-04-18 00:00:00",3351
"2010-04-19 00:00:00",276
"2010-04-20 00:00:00",243
"2010-04-21 00:00:00",251
"2010-04-22 00:00:00",199
"2010-04-23 00:00:00",200
"2010-04-24 00:00:00",202
"2010-04-25 00:00:00",205
"2010-04-26 00:00:00",211
"2010-04-27 00:00:00",233
"2010-04-28 00:00:00",227
"2010-04-29 00:00:00",180
"2010-04-30 00:00:00",170
"2010-05-01 00:00:00",210
"2010-05-02 00:00:00",180
"2010-05-03 00:00:00",188
"2010-05-04 00:00:00",177
"2010-05-05 00:00:00",162
"2010-05-06 00:00:00",177
"2010-05-07 00:00:00",158
"2010-05-08 00:00:00",182
"2010-05-09 00:00:00",183
"2010-05-10 00:00:00",157
"2010-05-11 00:00:00",130
"2010-05-12 00:00:00",159
"2010-05-13 00:00:00",167
"2010-05-14 00:00:00",153
"2010-05-15 00:00:00",113
"2010-05-16 00:00:00",133
"2010-05-17 00:00:00",178
"2010-05-18 00:00:00",223
"2010-05-19 00:00:00",207
"2010-05-20 00:00:00",237
"2010-05-21 00:00:00",235
"2010-05-22 00:00:00",226
"2010-05-23 00:00:00",309
"2010-05-24 00:00:00",250
"2010-05-25 00:00:00",254
"2010-05-26 00:00:00",287
"2010-05-27 00:00:00",267
"2010-05-28 00:00:00",277
"2010-05-29 00:00:00",239
"2010-05-30 00:00:00",200
"2010-05-31 00:00:00",194
"2010-06-01 00:00:00",183
"2010-06-02 00:00:00",194
"2010-06-03 00:00:00",235
"2010-06-04 00:00:00",173
"2010-06-05 00:00:00",190
"2010-06-06 00:00:00",200
"2010-06-07 00:00:00",209
"2010-06-08 00:00:00",223
"2010-06-09 00:00:00",220
"2010-06-10 00:00:00",217
"2010-06-11 00:00:00",247
"2010-06-12 00:00:00",213
"2010-06-13 00:00:00",239
"2010-06-14 00:00:00",257
"2010-06-15 00:00:00",269
"2010-06-16 00:00:00",192
"2010-06-17 00:00:00",204
"2010-06-18 00:00:00",193
"2010-06-19 00:00:00",214
"2010-06-20 00:00:00",228
"2010-06-21 00:00:00",242
"2010-06-22 00:00:00",227
"2010-06-23 00:00:00",257
"2010-06-24 00:00:00",240
"2010-06-25 00:00:00",210
"2010-06-26 00:00:00",201
"2010-06-27 00:00:00",234
"2010-06-28 00:00:00",230
"2010-06-29 00:00:00",264
"2010-06-30 00:00:00",273
"2010-07-01 00:00:00",284
"2010-07-02 00:00:00",241
"2010-07-03 00:00:00",286
"2010-07-04 00:00:00",224
"2010-07-05 00:00:00",252
"2010-07-06 00:00:00",208
"2010-07-07 00:00:00",218
"2010-07-08 00:00:00",223
"2010-07-09 00:00:00",268
"2010-07-10 00:00:00",240
"2010-07-11 00:00:00",353
"2010-07-12 00:00:00",2300
"2010-07-13 00:00:00",1479
"2010-07-14 00:00:00",6132
"2010-07-15 00:00:00",1330
"2010-07-16 00:00:00",1181
"2010-07-17 00:00:00",408
"2010-07-18 00:00:00",420
"2010-07-19 00:00:00",528
"2010-07-20 00:00:00",594
"2010-07-21 00:00:00",463
"2010-07-22 00:00:00",397
"2010-07-23 00:00:00",411
"2010-07-24 00:00:00",894
"2010-07-25 00:00:00",1823
"2010-07-26 00:00:00",467
"2010-07-27 00:00:00",426
"2010-07-28 00:00:00",1951
"2010-07-29 00:00:00",1867
"2010-07-30 00:00:00",325
"2010-07-31 00:00:00",295
"2010-08-01 00:00:00",364
"2010-08-02 00:00:00",398
"2010-08-03 00:00:00",648
"2010-08-04 00:00:00",439
"2010-08-05 00:00:00",515
"2010-08-06 00:00:00",359
"2010-08-07 00:00:00",273
"2010-08-08 00:00:00",391
"2010-08-09 00:00:00",424
"2010-08-10 00:00:00",340
"2010-08-11 00:00:00",412
"2010-08-12 00:00:00",392
"2010-08-13 00:00:00",516
"2010-08-14 00:00:00",434
"2010-08-15 00:00:00",315
"2010-08-16 00:00:00",453
"2010-08-17 00:00:00",318
"2010-08-18 00:00:00",377
"2010-08-19 00:00:00",325
"2010-08-20 00:00:00",423
"2010-08-21 00:00:00",342
"2010-08-22 00:00:00",366
"2010-08-23 00:00:00",369
"2010-08-24 00:00:00",379
"2010-08-25 00:00:00",365
"2010-08-26 00:00:00",368
"2010-08-27 00:00:00",294
"2010-08-28 00:00:00",339
"2010-08-29 00:00:00",260
"2010-08-30 00:00:00",329
"2010-08-31 00:00:00",441
"2010-09-01 00:00:00",380
"2010-09-02 00:00:00",321
"2010-09-03 00:00:00",319
"2010-09-04 00:00:00",274
"2010-09-05 00:00:00",311
"2010-09-06 00:00:00",278
"2010-09-07 00:00:00",282
"2010-09-08 00:00:00",339
"2010-09-09 00:00:00",324
"2010-09-10 00:00:00",360
"2010-09-11 00:00:00",305
"2010-09-12 00:00:00",379
"2010-09-13 00:00:00",436
"2010-09-14 00:00:00",424
"2010-09-15 00:00:00",430
"2010-09-16 00:00:00",438
"2010-09-17 00:00:00",361
"2010-09-18 00:00:00",399
"2010-09-19 00:00:00",355
"2010-09-20 00:00:00",465
"2010-09-21 00:00:00",810
"2010-09-22 00:00:00",673
"2010-09-23 00:00:00",655
"2010-09-24 00:00:00",501
"2010-09-25 00:00:00",532
"2010-09-26 00:00:00",400
"2010-09-27 00:00:00",603
"2010-09-28 00:00:00",491
"2010-09-29 00:00:00",975
"2010-09-30 00:00:00",365
"2010-10-01 00:00:00",584
"2010-10-02 00:00:00",501
"2010-10-03 00:00:00",377
"2010-10-04 00:00:00",407
"2010-10-05 00:00:00",371
"2010-10-06 00:00:00",407
"2010-10-07 00:00:00",340
"2010-10-08 00:00:00",363
"2010-10-09 00:00:00",401
"2010-10-10 00:00:00",363
"2010-10-11 00:00:00",342
"2010-10-12 00:00:00",352
"2010-10-13 00:00:00",364
"2010-10-14 00:00:00",367
"2010-10-15 00:00:00",328
"2010-10-16 00:00:00",441
"2010-10-17 00:00:00",457
"2010-10-18 00:00:00",579
"2010-10-19 00:00:00",924
"2010-10-20 00:00:00",713
"2010-10-21 00:00:00",552
"2010-10-22 00:00:00",602
"2010-10-23 00:00:00",517
"2010-10-24 00:00:00",552
"2010-10-25 00:00:00",410
"2010-10-26 00:00:00",518
"2010-10-27 00:00:00",568
"2010-10-28 00:00:00",486
"2010-10-29 00:00:00",467
"2010-10-30 00:00:00",426
"2010-10-31 00:00:00",307
"2010-11-01 00:00:00",351
"2010-11-02 00:00:00",286
"2010-11-03 00:00:00",347
"2010-11-04 00:00:00",342
"2010-11-05 00:00:00",442
"2010-11-06 00:00:00",394
"2010-11-07 00:00:00",451
"2010-11-08 00:00:00",515
"2010-11-09 00:00:00",409
"2010-11-10 00:00:00",397
"2010-11-11 00:00:00",395
"2010-11-12 00:00:00",286
"2010-11-13 00:00:00",343
"2010-11-14 00:00:00",416
"2010-11-15 00:00:00",4871
"2010-11-16 00:00:00",9105
"2010-11-17 00:00:00",435
"2010-11-18 00:00:00",1494
"2010-11-19 00:00:00",9632
"2010-11-20 00:00:00",9731
"2010-11-21 00:00:00",10044
"2010-11-22 00:00:00",343
